,Unnamed: 0,Date,X_outlier,y_outlier
343,343,2019-01-15,29.7,0.0
344,344,2019-01-15,34.5,0.0
345,345,2019-01-15,31.1,0.0
346,346,2019-01-15,29.0,0.0
347,347,2019-01-15,26.3,0.0
348,348,2019-01-15,23.5,0.0
349,349,2019-01-15,24.1,0.0
350,350,2019-01-15,22.5,0.0
351,351,2019-01-15,20.8,0.0
352,352,2019-01-15,17.6,0.0
353,353,2019-01-15,19.7,0.0
354,354,2019-01-15,20.0,0.0
355,355,2019-01-15,25.2,0.0
356,356,2019-01-15,27.8,0.0
357,357,2019-01-15,31.3,0.0
358,358,2019-01-15,32.9,0.0
359,359,2019-01-15,31.5,0.0
360,360,2019-01-16,28.7,0.0
361,361,2019-01-16,26.2,0.0
362,362,2019-01-16,21.7,0.0
363,363,2019-01-16,19.2,0.0
364,364,2019-01-16,19.8,0.0
365,365,2019-01-16,23.7,0.0
366,366,2019-01-16,34.8,0.0
367,367,2019-01-16,41.5,0.0
368,368,2019-01-16,43.0,0.0
369,369,2019-01-16,37.8,0.0
370,370,2019-01-16,29.3,0.0
371,371,2019-01-16,27.7,0.0
372,372,2019-01-16,23.8,0.0
373,373,2019-01-16,21.4,0.0
374,374,2019-01-16,18.8,0.0
375,375,2019-01-16,22.8,0.0
376,376,2019-01-16,26.7,0.0
377,377,2019-01-16,23.1,0.0
378,378,2019-01-16,24.1,0.0
379,379,2019-01-16,27.3,0.0
380,380,2019-01-16,31.8,0.0
381,381,2019-01-16,36.3,0.0
382,382,2019-01-16,36.2,0.0
383,383,2019-01-16,36.2,0.0
384,384,2019-01-17,33.1,0.0
385,385,2019-01-17,29.8,0.0
386,386,2019-01-17,28.5,0.0
387,387,2019-01-17,28.3,0.0
388,388,2019-01-17,28.7,0.0
389,389,2019-01-17,29.9,0.0
390,390,2019-01-17,30.5,0.0
391,391,2019-01-17,33.4,0.0
392,392,2019-01-17,36.5,0.0
393,393,2019-01-17,36.2,0.0
394,394,2019-01-17,31.7,0.0
395,395,2019-01-17,36.1,0.0
396,396,2019-01-17,36.0,0.0
397,397,2019-01-17,26.4,0.0
398,398,2019-01-17,27.3,0.0
399,399,2019-01-17,31.5,0.0
400,400,2019-01-17,29.6,0.0
401,401,2019-01-17,27.6,0.0
402,402,2019-01-17,27.6,0.0
403,403,2019-01-17,31.0,0.0
404,404,2019-01-17,31.4,0.0
405,405,2019-01-17,32.9,0.0
406,406,2019-01-17,33.8,0.0
407,407,2019-01-17,32.1,0.0
408,408,2019-01-18,29.0,0.0
409,409,2019-01-18,22.3,0.0
410,410,2019-01-18,19.4,0.0
411,411,2019-01-18,23.4,0.0
412,412,2019-01-18,18.6,0.0
413,413,2019-01-18,15.4,0.0
414,414,2019-01-18,18.0,0.0
415,415,2019-01-18,22.3,0.0
416,416,2019-01-18,26.7,0.0
417,417,2019-01-18,24.5,0.0
418,418,2019-01-18,96.06355987362488,1.0
419,419,2019-01-18,22.8,0.0
420,420,2019-01-18,21.3,0.0
421,421,2019-01-18,22.7,0.0
422,422,2019-01-18,20.2,0.0
423,423,2019-01-18,20.6,0.0
424,424,2019-01-18,25.1,0.0
425,425,2019-01-18,26.5,0.0
426,426,2019-01-18,28.0,0.0
427,427,2019-01-18,26.8,0.0
428,428,2019-01-18,29.8,0.0
429,429,2019-01-18,35.9,0.0
430,430,2019-01-18,34.4,0.0
431,431,2019-01-18,30.4,0.0
432,432,2019-01-19,28.4,0.0
433,433,2019-01-19,125.6361098816312,1.0
434,434,2019-01-19,20.7,0.0
435,435,2019-01-19,15.0,0.0
436,436,2019-01-19,14.1,0.0
437,437,2019-01-19,18.3,0.0
438,438,2019-01-19,24.5,0.0
439,439,2019-01-19,29.5,0.0
440,440,2019-01-19,34.1,0.0
441,441,2019-01-19,35.8,0.0
